,crawling
91,"대구소방, 올해 주요 성과 분석…내년 현안 업무 추진 박차"
92,[FPN-소방방재신문] [INdustrial Technology] 라온피플(주) 열 ...
93,"""IoT로 소방시설 실시간 감시…화재 피해 줄인다"""
94,IoT기반 소방안전서비스…화재 감지 후 현장도착까지 '1분'
95,"[FPN-소방방재신문] LG CNS, DX 기술로 정부세종청사 '디지털 ..."
96,"ETRI, 재난현장 인명탐지 레이저 센서 시스템 개발"
97,"화재현장 정보, 출동하며 미리 확인…119 현장지원시스템 구축"
98,"광주시 소방안전본부,“소방차 전용구역 위반 신고는 안전신문고로!“"
99,기간 맞춤설정
100,K-스마트인프라로 해외건설 수주 확대…도심항공·자율차 상용화
101,[기고]소방의 초심과 소방발전 4.0시대
102,AI로 똑똑해진 광주 119…골든타임 확보로 시민 안전 지킨다
103,"동신대 스마트건축기계설비전공, 기계설비인 양성의 꿈 이루다"
104,공동주택 화재경보 LED 조명 등 소방 방재 기술 한자리에
105,충북형 미래도시 앞당기는 '스마트시티 챌린지'
106,[FPN-소방방재신문] [INdustrial Technology] (주)제워디 3세대 ...
107,"LGU+, 중소기업 대상 '구독형 스마트팩토리' 출시"
108,[FPN-소방방재신문] [이건 칼럼] 스마트한 소방관 vs. 스마트폰만 ...
109,전남일보
110,기간 맞춤설정
111,"[FPN-소방방재신문] (주)디엠시스템엔지니어링, 화재 대피 돕는 ..."
112,"KCL, ESS 화재안전성 세미나 개최"
113,"中, 인공지능·빅데이터·IoT 접목한 스마트 소방산업 성장세 ..."
114,[FPN-소방방재신문] [대한민국 안전대상/국무총리상] 존슨 ...
115,"에스지, ICT 기반 스마트 소방헬멧 내년 초 출시"
116,[FPN-소방방재신문] [119TalkTalk] “소방 조직의 존재감은 현장 ...
117,"[소방의 날] 드론으로 조난자 찾고, AI로 사고 예측하고... ICT로 ..."
118,"하나은행, 소방공무원 대출 서비스 제공, 순직 소방공무원 가족 지원도"
119,"'ESS화재 초기에 잡는다' 소방청, 화재안전기준 제정안 발표"
120,"거림소방, AI 시스템으로 소방시설관리 새지평 연다"
121,기간 맞춤설정
122,"한전KDN, 인공지능 기반 SW개발로 지역현안 해결 나선다."
123,[FPN-소방방재신문] 존슨콘트롤즈 “빌딩 솔루션으로 국내 ...
124,HDC아이콘트롤스 “의왕스마트시티 지식산업센터 소방공사 수주” [주목 e공시]
125,"경기소방본부, 9~11월 대형 창고시설 소방설비 전수조사"
126,서문사 2022년 스마트폰 사진 전시회 개최
127,"KISTI, 소방 빅데이터 분석 교육훈련 과정 추진"
128,"건설ㆍITㆍ장비업계 및 학계, '스마트건설안전' 위해 뭉쳤다"
129,[FPN-소방방재신문] [집중취재] 화재감지기 선진화 정책 막아선 ...
130,방탈출 카페에서 불이 나면? 소방안전관리 강화
131,"습도 높은 날 폐기물 화재 ↑…전북소방, 안전대책 추진"
132,기간 맞춤설정
133,[FPN-소방방재신문] [집중조명] 올해 소방청 예산 어디어디 쓰이나
134,"화재발생시 신속한 소방경보... ""IoT무선화재시스템"" 관심"
135,전남매일
136,소화전 주변엔 불법 주차 안돼요~ - 국민이 말하는 정책 | 뉴스
137,국내 최고 자본시장(Capital Markets) 미디어
138,"광주소방안전본부, 아파트 옥상에 '비상문자동개폐장치' 설치 ..."
139,국내 최고 자본시장(Capital Markets) 미디어
140,"송도호 서울시의원, 서울시의회 도시안전건설위원장에 선출"
141,대구에 전국 첫 'K-스마트형 119안전센터'
142,⑮ 현장을 보는 제2의 눈 '소방드론'
143,기간 맞춤설정
144,[FPN-소방방재신문] [인터뷰] “위험물 스마트안전 기술 개발 ...
145,"“소방안전의 혁신, '기본기'와 '인식'이 관건” – Sciencetimes"
146,"울산시, 공무원 우수제안 9건 선정…'소방활동정보통 설치' 금상"
147,"충북도, 실시간 응급의료 시스템으로 ‘골든타임 환자’ 살린다"
148,"[FPN-소방방재신문] [2021 Fire EXPO] 아이아이에스티, 국내 ..."
149,이승진 존슨콘트롤즈 코리아 대표 선임
150,소방안전관리 강화 조항 추가된 법률안 국회 본회의 통과
151,"대전소방, 전국최초 119통합영상플랫폼 구축 운영"
152,"보성소방서, 전라남도 「어린이 소방과학·기술 경연대회」 개최"
153,[과천소식] 스마트 불법주차 통합솔루션 구축용역 중간보고회 개최 外
154,기간 맞춤설정
155,"광주소방안전본부, 2021년 구급업무 우수기관 선정"
156,신변보호 앞둔 40대 女 흉기에 찔려 숨져…“스마트워치로 신고했는데”
157,파라텍 수주공시 - 시화 MTV 물류2BL 물류센터 신축공사(소방기계) 144.6억원 (매출액대비 12.80 %)
158,"구리시, 스마트폰 앱 이용한 '안전귀가서비스' 제공"
159,서울 용산구 삼각맨션서 화재…소방 진화 중
160,"제주소방본부, '24시간 민원 상담' 챗봇 서비스 가동"
161,풍수해대비 경기소방드론...'자율소방' '스마트방역' 드론사업 4건 ...
162,‘한국형 스마트시티’ 세계로 뻗어나간다
163,"즉시보도자료 소방청, 과장 및 시·도 소방본부장 전보 인사"
164,[인터뷰] 민선8기 조병옥 음성군수 < 파워인터뷰 < 기획연재 ...
165,기간 맞춤설정
166,[양건의 문화광장] 스마트 시티의 핵심은 '기술' 아닌 '인간'이다
167,[단독] 평택 화재 당시 소방 무전 녹취록 단독 입수
168,"강원도 소방본부 빅데이터 센터, '2021 소방안전 AI예측 경진 ..."
169,"딥인스펙션, 국토부 스마트건설챌린지 2위 혁신상 받아"
170,1조5천억 스마트홈 시장...삼성･LG 기술세미나 개최
171,[FPN-소방방재신문] [119TalkTalk]“소방공무원 국가직 전환은 ...
172,소방설비기사·가스기능사 등 안전 관련 '국가기술자격 트렌드 북 ...
173,[FPN-소방방재신문] 망원시장 큰불 막아… 빠른 신고와 첨단 ...
174,"현대아이티, ‘스마트보드 알파3.0’ 출시… “전자칠판, 원격 화상회의, 엔터테인먼트까지 다양한 활용도 주목!”"
175,전남매일
176,기간 맞춤설정
177,"끄기힘든 전기차 화재…충남소방본부, '워터포켓' 으로 해법찾아"
178,"서울시민 '보이는 소화기'로 7년간 화재 706건 진화, 248억 피해 ..."
179,전국 최초 소방에 IT 입힌다.
180,[FPN-소방방재신문] 다들 가슴압박 잘하고 있나요?
181,"충남, 2만9000개 CCTV 연결 앱 구축…여성·학생 `안심귀가` 돕는다"
182,전남매일
183,"충남소방본부, 스마트 현장관리 시스템 본격 상용화"
184,전남매일
185,"애플, 1분기 프리미엄 스마트폰 판매 1위…삼성전자는?"
186,"국토부, 생활밀착형 도시재생 스마트사업 선정"
187,기간 맞춤설정
188,"[FPN-소방방재신문] '세로'로 만나는 소방 소식, '퀵ㆍ보ㆍ드 119'"
189,가설건출물 사용 안전기준 없는 모듈러 ‘그린스마트미래학교’
190,"쿠팡, 물류센터에 KT 소방안전 관리 시스템 구축"
191,국내 최고 자본시장(Capital Markets) 미디어
192,"소방청, 전국 소방지휘관 회의…평택 화재 후속대책 등 논의"
193,'5인승 승용차에도 소화기 의무 비치'…소방시설법 개정안 통과
194,전남매일
195,"에스지, 스마트 소방헬멧 수출길 뚫는다...새해 5억 수출 목표"
196,[FPN-소방방재신문] '스마트한 소방 전문 인력 양성' 경일대학교 ...
197,"[FPN-소방방재신문] 대림대, 소방학과 중 최초로 내년부터 P ..."
198,기간 맞춤설정
199,[FPN-소방방재신문] “소방 발전에 기여하는 '소방기술사'를 꿈꿉 ...
200,경남도 스마트 공간정보 플랫폼 구축 2단계 사업완료
201,"KT, 생활환경 디지털혁신 가속...신규 소방안전 서비스 선보여"
202,"[FPN-소방방재신문] 달서소방서, 스마트한 교육ㆍ홍보 나서"
203,성동구 초고층 주상복합건물서 '진동' 신고…소방 출동
204,"[FPN-소방방재신문] 송파소방서-송파구청, 스마트 CCTV 영상 ..."
205,"국립소방연구원, '화학사고 현장대응 가이드북' 개정판 발간"
206,기계설비·전기·소방 시설관리 웹·모바일로 '한 눈에'
207,"시스원, 137억 규모 '인천공항 스마트패스' 구축 사업자 선정"
